season,round,raceId,driver_code,team_name,code,race_name,grid_position,finishing_pos,points
2024,1,1121,max_verstappen,Red Bull,VER,Bahrain Grand Prix,1,1,26.0
2024,1,1121,stroll,Aston Martin,STR,Bahrain Grand Prix,12,10,1.0
2024,1,1121,zhou,Sauber,ZHO,Bahrain Grand Prix,17,11,0.0
2024,1,1121,kevin_magnussen,Haas F1 Team,MAG,Bahrain Grand Prix,15,12,0.0
2024,1,1121,ricciardo,RB F1 Team,RIC,Bahrain Grand Prix,14,13,0.0
2024,1,1121,tsunoda,RB F1 Team,TSU,Bahrain Grand Prix,11,14,0.0
2024,1,1121,albon,Williams,ALB,Bahrain Grand Prix,13,15,0.0
2024,1,1121,hulkenberg,Haas F1 Team,HUL,Bahrain Grand Prix,10,16,0.0
2024,1,1121,ocon,Alpine F1 Team,OCO,Bahrain Grand Prix,19,17,0.0
2024,1,1121,gasly,Alpine F1 Team,GAS,Bahrain Grand Prix,20,18,0.0
2024,1,1121,bottas,Sauber,BOT,Bahrain Grand Prix,16,19,0.0
2024,1,1121,perez,Red Bull,PER,Bahrain Grand Prix,5,2,18.0
2024,1,1121,sargeant,Williams,SAR,Bahrain Grand Prix,18,20,0.0
2024,1,1121,sainz,Ferrari,SAI,Bahrain Grand Prix,4,3,15.0
2024,1,1121,leclerc,Ferrari,LEC,Bahrain Grand Prix,2,4,12.0
2024,1,1121,russell,Mercedes,RUS,Bahrain Grand Prix,3,5,10.0
2024,1,1121,norris,McLaren,NOR,Bahrain Grand Prix,7,6,8.0
2024,1,1121,hamilton,Mercedes,HAM,Bahrain Grand Prix,9,7,6.0
2024,1,1121,piastri,McLaren,PIA,Bahrain Grand Prix,8,8,4.0
2024,1,1121,alonso,Aston Martin,ALO,Bahrain Grand Prix,6,9,2.0
2024,2,1122,max_verstappen,Red Bull,VER,Saudi Arabian Grand Prix,1,1,25.0
2024,2,1122,hulkenberg,Haas F1 Team,HUL,Saudi Arabian Grand Prix,15,10,1.0
2024,2,1122,albon,Williams,ALB,Saudi Arabian Grand Prix,12,11,0.0
2024,2,1122,kevin_magnussen,Haas F1 Team,MAG,Saudi Arabian Grand Prix,13,12,0.0
2024,2,1122,ocon,Alpine F1 Team,OCO,Saudi Arabian Grand Prix,17,13,0.0
2024,2,1122,sargeant,Williams,SAR,Saudi Arabian Grand Prix,19,14,0.0
2024,2,1122,tsunoda,RB F1 Team,TSU,Saudi Arabian Grand Prix,9,15,0.0
2024,2,1122,ricciardo,RB F1 Team,RIC,Saudi Arabian Grand Prix,14,16,0.0
2024,2,1122,bottas,Sauber,BOT,Saudi Arabian Grand Prix,16,17,0.0
2024,2,1122,zhou,Sauber,ZHO,Saudi Arabian Grand Prix,20,18,0.0
2024,2,1122,perez,Red Bull,PER,Saudi Arabian Grand Prix,3,2,18.0
2024,2,1122,leclerc,Ferrari,LEC,Saudi Arabian Grand Prix,2,3,16.0
2024,2,1122,piastri,McLaren,PIA,Saudi Arabian Grand Prix,5,4,12.0
2024,2,1122,alonso,Aston Martin,ALO,Saudi Arabian Grand Prix,4,5,10.0
2024,2,1122,russell,Mercedes,RUS,Saudi Arabian Grand Prix,7,6,8.0
2024,2,1122,bearman,Ferrari,BEA,Saudi Arabian Grand Prix,11,7,6.0
2024,2,1122,norris,McLaren,NOR,Saudi Arabian Grand Prix,6,8,4.0
2024,2,1122,hamilton,Mercedes,HAM,Saudi Arabian Grand Prix,8,9,2.0
2024,2,1122,stroll,Aston Martin,STR,Saudi Arabian Grand Prix,10,\N,0.0
2024,2,1122,gasly,Alpine F1 Team,GAS,Saudi Arabian Grand Prix,18,\N,0.0
2024,3,1123,sainz,Ferrari,SAI,Australian Grand Prix,2,1,25.0
2024,3,1123,kevin_magnussen,Haas F1 Team,MAG,Australian Grand Prix,14,10,1.0
2024,3,1123,albon,Williams,ALB,Australian Grand Prix,12,11,0.0
2024,3,1123,ricciardo,RB F1 Team,RIC,Australian Grand Prix,18,12,0.0
2024,3,1123,gasly,Alpine F1 Team,GAS,Australian Grand Prix,17,13,0.0
2024,3,1123,bottas,Sauber,BOT,Australian Grand Prix,13,14,0.0
2024,3,1123,zhou,Sauber,ZHO,Australian Grand Prix,19,15,0.0
2024,3,1123,ocon,Alpine F1 Team,OCO,Australian Grand Prix,15,16,0.0
2024,3,1123,russell,Mercedes,RUS,Australian Grand Prix,7,17,0.0
2024,3,1123,leclerc,Ferrari,LEC,Australian Grand Prix,4,2,19.0
2024,3,1123,norris,McLaren,NOR,Australian Grand Prix,3,3,15.0
2024,3,1123,piastri,McLaren,PIA,Australian Grand Prix,5,4,12.0
2024,3,1123,perez,Red Bull,PER,Australian Grand Prix,6,5,10.0
2024,3,1123,stroll,Aston Martin,STR,Australian Grand Prix,9,6,8.0
2024,3,1123,tsunoda,RB F1 Team,TSU,Australian Grand Prix,8,7,6.0
2024,3,1123,alonso,Aston Martin,ALO,Australian Grand Prix,10,8,4.0
2024,3,1123,hulkenberg,Haas F1 Team,HUL,Australian Grand Prix,16,9,2.0
2024,3,1123,hamilton,Mercedes,HAM,Australian Grand Prix,11,\N,0.0
2024,3,1123,max_verstappen,Red Bull,VER,Australian Grand Prix,1,\N,0.0
2024,4,1124,max_verstappen,Red Bull,VER,Japanese Grand Prix,1,1,26.0
2024,4,1124,tsunoda,RB F1 Team,TSU,Japanese Grand Prix,10,10,1.0
2024,4,1124,hulkenberg,Haas F1 Team,HUL,Japanese Grand Prix,12,11,0.0
2024,4,1124,stroll,Aston Martin,STR,Japanese Grand Prix,16,12,0.0
2024,4,1124,kevin_magnussen,Haas F1 Team,MAG,Japanese Grand Prix,18,13,0.0
2024,4,1124,bottas,Sauber,BOT,Japanese Grand Prix,13,14,0.0
2024,4,1124,ocon,Alpine F1 Team,OCO,Japanese Grand Prix,15,15,0.0
2024,4,1124,gasly,Alpine F1 Team,GAS,Japanese Grand Prix,17,16,0.0
2024,4,1124,sargeant,Williams,SAR,Japanese Grand Prix,19,17,0.0
2024,4,1124,perez,Red Bull,PER,Japanese Grand Prix,2,2,18.0
2024,4,1124,sainz,Ferrari,SAI,Japanese Grand Prix,4,3,15.0
2024,4,1124,leclerc,Ferrari,LEC,Japanese Grand Prix,8,4,12.0
2024,4,1124,norris,McLaren,NOR,Japanese Grand Prix,3,5,10.0
2024,4,1124,alonso,Aston Martin,ALO,Japanese Grand Prix,5,6,8.0
2024,4,1124,russell,Mercedes,RUS,Japanese Grand Prix,9,7,6.0
2024,4,1124,piastri,McLaren,PIA,Japanese Grand Prix,6,8,4.0
2024,4,1124,hamilton,Mercedes,HAM,Japanese Grand Prix,7,9,2.0
2024,4,1124,zhou,Sauber,ZHO,Japanese Grand Prix,20,\N,0.0
2024,4,1124,ricciardo,RB F1 Team,RIC,Japanese Grand Prix,11,\N,0.0
2024,4,1124,albon,Williams,ALB,Japanese Grand Prix,14,\N,0.0
2024,5,1125,max_verstappen,Red Bull,VER,Chinese Grand Prix,1,1,25.0
